"Name","link","needed","price of one","price of package"
"Rasp pi","","1","$59.99","$59.99"
"Screen","https://www.aliexpress.us/item/3256811860307211.html?spm=a2g0o.order_list.order_list_main.79.25f01802ugS0kN&gatewayAdapt=glo2usa","1","$15.57","$15.57"
"Speaker","https://www.aliexpress.us/item/3256803469695339.html?spm=a2g0o.order_list.order_list_main.84.25f01802ugS0kN&gatewayAdapt=glo2usa","1","$22.87","$22.87"
"JD1912","https://www.aliexpress.us/item/3256810090973764.html?spm=a2g0o.order_list.order_list_main.74.25f01802ugS0kN&gatewayAdapt=glo2usa","1","$6.15","$6.15"
"Time Relay","https://www.aliexpress.us/item/3256808086519741.html?spm=a2g0o.order_list.order_list_main.64.25f01802ugS0kN&gatewayAdapt=glo2usa","1","$3.32","$3.32"
"5v to 12v amplifier","https://www.aliexpress.us/item/3256805878102803.html?spm=a2g0o.order_list.order_list_main.17.25f01802ugS0kN&gatewayAdapt=glo2usa","1","$4.91","$4.91"
"Type C interface","https://www.aliexpress.us/item/3256810338605989.html?spm=a2g0o.order_list.order_list_main.53.25f01802ugS0kN&gatewayAdapt=glo2usa","1","$3.54","$3.54"
"Double USB charger","https://www.aliexpress.us/item/2251832663934147.html?spm=a2g0o.order_list.order_list_main.47.25f01802gfiJC2&gatewayAdapt=glo2usa","1","$1.95","$1.95"
"MCP73871","https://www.aliexpress.us/item/2251832593152922.html?spm=a2g0o.order_list.order_list_main.11.25f01802ugS0kN&gatewayAdapt=glo2usa","1","$3.25","$3.25"
"LiPo Pouch","https://www.aliexpress.us/item/3256812285653507.html?spm=a2g0o.order_list.order_list_main.29.25f01802ugS0kN&gatewayAdapt=glo2usa","1","$13.88","$13.88"
"Optocoupler","https://www.aliexpress.us/item/3256808061802481.html?spm=a2g0o.order_list.order_list_main.5.25f01802vzry7D&gatewayAdapt=glo2usa","1","$0.13","$2.57"
"Diodes","https://www.aliexpress.us/item/2251832761633560.html?spm=a2g0o.order_list.order_list_main.59.25f01802ugS0kN&gatewayAdapt=glo2usa","2","$0.09","$1.70"
"3V3300UF Capacitor","https://www.aliexpress.us/item/3256811542313899.html?spm=a2g0o.order_list.order_list_main.23.25f01802ugS0kN&gatewayAdapt=glo2usa","1","$0.48","$4.82"
"Wireless Phone Connector (optional unless using IOS on free version of OpenAuto)","https://www.aliexpress.us/item/3256809934129098.html?spm=a2g0o.order_list.order_list_main.41.25f01802ugS0kN&gatewayAdapt=glo2usa","1","$29.49","$29.49"
"Zipties","https://www.homedepot.com/p/Commercial-Electric-8in-Standard-50lb-Tensile-Strength-UL-21S-Rated-Cable-Zip-Ties-100-Pack-UV-Black-GT-200STCB/203531910","9","$0.12","$12.46"
"M2 nuts and bolts","https://www.homedepot.com/p/Prime-Line-M2-0-4-x-8-mm-Grade-A2-70-Stainless-Steel-Phillips-Drive-Flat-Head-Metric-Machine-Screws-10-Pack-9120618/311229766","24","$0.54","$5.43 x 3"
"Wires","[Link](https://www.amazon.com/California-JOS-Breadboard-Optional-Multicolored/dp/B0BRTL3BHR?tag=bingshoppinga-20&linkCode=df0&hvadid=80470717339063&hvnetw=o&hvqmt=e&hvbmt=be&hvdev=c&hvlocint=&hvlocphy=103304&hvtargid=pla-4584070205420867&psc=1&hvocijid=15639618107126028530-B0BRTL3BHR-&hvexpln=0)","24","$0.11","$4.59"
"USBc Cables","https://www.aliexpress.us/item/3256808184974434.html?spm=a2g0o.order_list.order_list_main.69.25f01802bj1ZPU&gatewayAdapt=glo2usa","2","$3.15","$3.15 x 2"
"Total Cost","---","-","---","$213.65"